,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,spid,rating,COMMEQTA,LLPLOANS,COSTTOINCOME,ROE,LIQASSTA,SIZE,Total Rating,risk,Recommendation
133,133,133,133,133,111914,5,0.069093,0.006795,0.561963,0.20547,0.222367,19.0772,0.34478240000000004,low,APPROVED
134,134,134,134,134,105616,5,0.084794,0.006258,0.611673,0.10774,0.056698,17.6244,0.17739875,medium,CONDITIONAL APPROVED
135,135,135,135,135,105471,5,0.171456,0.00608,0.720887,0.052493,0.025169,17.2989,0.1583397,medium,CONDITIONAL APPROVED
136,136,136,136,136,119728,5,0.023226,0.001125,0.887563,0.057613,0.429821,19.8681,0.37349380000000004,low,APPROVED
137,137,137,137,137,114976,5,0.022014,0.001615,0.637163,0.128817,0.452447,19.7688,0.42508769999999996,low,APPROVED
138,138,138,138,138,327063,5,0.045099,0.004529,0.720743,0.177637,0.337308,19.9502,0.39812575,low,APPROVED
139,139,139,139,139,116415,5,0.007084,0.010988,0.91199,-0.15336,0.696662,19.7259,0.39501020000000003,low,APPROVED
140,140,140,140,140,440402,5,0.054658,0.013144,0.30798,-0.14134,0.220968,17.7145,0.08326780000000003,high,REJECT
141,141,141,141,141,126418,5,0.071657,0.017788,0.6546,0.034723,0.50453,17.69,0.4154222,low,APPROVED
142,142,142,142,142,111703,5,0.051926,0.005334,0.49192,0.177273,0.103057,18.9661,0.23697795,low,APPROVED
143,143,143,143,143,105461,5,0.136171,0.009614,0.921623,-0.057103,0.048411,18.4209,0.093006,high,REJECT
144,144,144,144,144,111635,5,0.057433,0.005678,0.56498,0.144617,0.216681,19.3088,0.29386455,low,APPROVED
145,145,145,145,145,105765,5,0.033799,0.003993,1.07628,0.11096,0.320678,19.2525,0.3538456,low,APPROVED
146,146,146,146,146,104443,5,0.09171,0.004268,0.64503,0.110663,0.074649,17.5532,0.19534825,medium,CONDITIONAL APPROVED
147,147,147,147,147,114352,5,0.024925,0.001378,1.18213,0.088633,0.638065,20.4772,0.5459996500000001,low,APPROVED
148,148,148,148,148,101631,5,0.03546,0.005241,0.580797,0.162337,0.32521,19.7962,0.36877035,low,APPROVED
149,149,149,149,149,355047,5,0.044546,0.003564,0.578573,0.08229,0.285272,17.8011,0.29013325,low,APPROVED
150,150,150,150,150,324974,5,0.016465,0.003483,0.915195,-0.11638,0.536489,21.0578,0.3199459,low,APPROVED
151,151,151,151,151,100661,5,0.018092,0.002906,0.955373,0.08931,0.288493,21.3555,0.30533350000000004,low,APPROVED
152,152,152,152,152,350639,6,0.008359,0.006228,0.264435,0.051485,0.299448,17.0154,0.24786885000000003,low,APPROVED
153,153,153,153,153,117576,6,0.058527,0.005365,0.60492,0.106687,0.192343,18.0237,0.25389715,low,APPROVED
154,154,154,154,154,106019,6,0.080033,0.011207,0.668903,0.031827,0.056019,18.0396,0.1252703,medium,CONDITIONAL APPROVED
155,155,155,155,155,112496,6,0.063577,0.015868,0.355697,0.063537,0.47533,16.2256,0.39824285,low,APPROVED
156,156,156,156,156,118431,6,0.0439,0.004449,0.66276,0.11416,0.118777,18.2821,0.20825995,low,APPROVED
157,157,157,157,157,110986,6,0.018912,0.001202,0.363677,-0.497617,0.105903,19.6781,-0.25362609999999997,high,REJECT
158,158,158,158,158,377590,6,0.041032,0.000903,0.579483,-0.38733,0.297495,19.2052,-0.032282000000000005,high,REJECT
159,159,159,159,159,108305,6,0.037847,0.002192,0.727667,0.147637,0.378799,18.2293,0.4013066,low,APPROVED
160,160,160,160,160,111255,6,0.120053,0.002724,0.56575,0.14307,0.097359,16.1234,0.24001345000000002,low,APPROVED
161,161,161,161,161,110145,6,0.053926,0.006789,0.67064,0.120433,0.192625,18.9884,0.26529064999999996,low,APPROVED
162,162,162,162,162,107128,6,0.022485,0.003754,0.6942,0.083067,0.174358,20.2398,0.215559,low,APPROVED
163,163,163,163,163,107304,6,0.032554,0.003066,0.60139,0.171193,0.413413,18.0246,0.43195125,low,APPROVED
164,164,164,164,164,364610,6,0.08212,0.011316,0.57662,0.061497,0.061451,15.3274,0.14580165,medium,CONDITIONAL APPROVED
165,165,165,165,165,389052,6,0.15827,0.009611,0.641637,0.023163,0.038563,17.6723,0.137631,medium,CONDITIONAL APPROVED
166,166,166,166,166,105518,6,0.109598,0.004847,0.549673,0.110053,0.033142,17.6059,0.17038694999999998,medium,CONDITIONAL APPROVED
167,167,167,167,167,310295,6,0.041613,0.001066,0.302455,0.137663,0.1556,16.922,0.22937864999999996,low,APPROVED
168,168,168,168,168,111689,6,0.112483,0.050605,0.475977,0.501147,0.082415,16.6525,0.4782252,low,APPROVED
169,169,169,169,169,118467,6,0.035467,0.003209,0.529627,0.163623,0.140698,17.7203,0.24697885,low,APPROVED
170,170,170,170,170,102753,6,0.167733,0.002716,0.81814,0.025747,0.523013,17.2105,0.46625315,low,APPROVED
171,171,171,171,171,338959,6,0.031727,0.001172,0.619863,0.103667,0.069356,18.0693,0.16144945,medium,CONDITIONAL APPROVED
172,172,172,172,172,108539,6,0.03234,0.002238,0.868333,-0.157707,0.213392,20.3261,0.08488635000000001,high,REJECT
173,173,173,173,173,108762,6,0.094947,0.017524,0.50448,0.04673,0.028554,17.4506,0.1162263,high,REJECT
174,174,174,174,174,130137,7,0.1221,0.059014,0.55169,0.38401,0.11106,17.0056,0.42332190000000003,low,APPROVED
175,175,175,175,175,361680,7,0.114305,0.004619,0.584843,0.114047,0.036632,15.6877,0.17906975,medium,CONDITIONAL APPROVED
176,176,176,176,176,310471,7,0.085937,0.001028,0.674663,0.164247,0.044857,16.6248,0.2123407,low,APPROVED
177,177,177,177,177,105874,7,0.086935,0.012463,0.63888,0.06822,0.044795,17.3261,0.14483505,medium,CONDITIONAL APPROVED
178,178,178,178,178,361374,7,0.027718,0.004141,0.8148,0.041983,0.135479,19.1408,0.16969075,medium,CONDITIONAL APPROVED
179,179,179,179,179,322853,7,0.093845,0.006079,0.704733,0.095513,0.033867,15.9394,0.1622552,medium,CONDITIONAL APPROVED
180,180,180,180,180,326002,7,0.029034,0.001059,0.56821,0.12059,0.280219,18.1569,0.30668535,low,APPROVED
181,181,181,181,181,105670,7,0.061132,0.006654,0.5369,0.168877,0.090058,16.2044,0.2287148,low,APPROVED
182,182,182,182,182,127879,7,0.177378,0.00103,0.670343,0.071407,0.104394,16.0922,0.22241235,low,APPROVED
183,183,183,183,183,306519,7,0.049371,0.007338,0.460667,0.114453,0.08873,17.0492,0.18130715,medium,CONDITIONAL APPROVED
184,184,184,184,184,397556,8,0.047341,-0.000169,0.730753,0.06256,0.023851,15.3569,0.1147523,high,REJECT
185,185,185,185,185,340841,8,0.057343,0.005667,0.532553,0.20292,0.187484,17.5738,0.31404014999999996,low,APPROVED
186,186,186,186,186,105027,8,0.080851,0.021827,0.803793,0.029097,0.105278,17.0373,0.16351135,medium,CONDITIONAL APPROVED
187,187,187,187,187,304963,8,0.05584,0.007829,0.4749,0.16819,0.126393,17.8449,0.24675235,low,APPROVED
188,188,188,188,188,336401,8,0.10872,0.015098,0.91,-0.05517,0.050798,17.9162,0.08489750000000001,high,REJECT
189,189,189,189,189,120338,8,0.048736,0.000492,0.602867,0.084907,0.228341,17.2502,0.2575435,low,APPROVED
190,190,190,190,190,110362,8,0.089029,0.004438,0.659123,0.111813,0.040334,15.5393,0.17349775,medium,CONDITIONAL APPROVED
191,191,191,191,191,115909,9,0.122417,0.040415,0.521333,0.21577,0.112113,16.8983,0.3029874,low,APPROVED
192,192,192,192,192,109111,9,0.082444,0.017412,0.841883,-0.054473,0.094946,16.6953,0.10039675,high,REJECT
193,193,193,193,193,316244,9,0.117238,0.003048,0.57384,0.128923,0.232619,16.3578,0.31734045,low,APPROVED
194,194,194,194,194,306139,9,0.109637,0.011144,0.557163,0.2586,0.133325,17.2891,0.3405086,low,APPROVED
195,195,195,195,195,319509,9,0.083465,0.012954,0.567193,0.075187,0.14771,16.062,0.21168345,low,APPROVED
196,196,196,196,196,109967,10,0.072279,0.009239,0.82363,0.09761,0.205654,15.6683,0.2730191,low,APPROVED
